on,on,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,wear,[27 30 39 48 53 57  1 42 55 22 46 49 50],"['hold' 'with' 'use' 'across' 'eat' 'talk' 'wear' 'cover' 'lying on' 'in'
 'inside' 'contain' 'drive']"
on,has,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,next to,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,sleep next to,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,sit next to,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,stand next to,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,park next,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,walk next to,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,above,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,behind,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,stand behind,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,sit behind,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,park behind,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,in the front of,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,under,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,stand under,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,sit under,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,near,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,walk to,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,walk,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,walk past,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,in,"[ 0  2  3  4  5  6  7  8 21 29 31 34 35 36 38 41 43 47 54 56 58 62 64 66
 67 68 69  9 10 11 12 13 14 15 16 17 18 19 20 23 24 25 26 28 32 33 37 40
 44 45 51 52 59 60 61 63 65  1]","['on' 'has' 'next to' 'sleep next to' 'sit next to' 'stand next to'
 'park next' 'walk next to' 'walk past' 'beneath' 'on the top of' 'sit on'
 'ride' 'carry' 'stand on' 'attach to' 'touch' 'adjacent to' 'park on'
 'pull' 'lean on' 'sleep on' 'rest on' 'hit' 'feed' 'kick' 'skate on'
 'above' 'behind' 'stand behind' 'sit behind' 'park behind'
 'in the front of' 'under' 'stand under' 'sit under' 'near' 'walk to'
 'walk' 'below' 'beside' 'walk beside' 'over' 'by' 'on the left of'
 'on the right of' 'look' 'at' 'watch' 'against' 'drive on' 'taller than'
 'fly' 'face' 'play with' 'outside of' 'follow' 'wear']"
on,below,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,beside,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,walk beside,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,over,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,hold,[1],['wear']
on,by,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,beneath,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,with,[1],['wear']
on,on the top of,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,on the left of,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,on the right of,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,sit on,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,ride,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,carry,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,look,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,stand on,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,use,[1],['wear']
on,at,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,attach to,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,cover,"[ 9 10 11 12 13 14 15 16 17 18 19 20 23 24 25 26 28 32 33 37 40 44 45 51
 52 59 60 61 63 65  1]","['above' 'behind' 'stand behind' 'sit behind' 'park behind'
 'in the front of' 'under' 'stand under' 'sit under' 'near' 'walk to'
 'walk' 'below' 'beside' 'walk beside' 'over' 'by' 'on the left of'
 'on the right of' 'look' 'at' 'watch' 'against' 'drive on' 'taller than'
 'fly' 'face' 'play with' 'outside of' 'follow' 'wear']"
on,touch,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,watch,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,against,[22 46 49 50 42 55],['in' 'inside' 'contain' 'drive' 'cover' 'lying on']
on,inside,"[ 0  2  3  4  5  6  7  8 21 29 31 34 35 36 38 41 43 47 54 56 58 62 64 66
 67 68 69  9 10 11 12 13 14 15 16 17 18 19 20 23 24 25 26 28 32 33 37 40
 44 45 51 52 59 60 61 63 65  1]","['on' 'has' 'next to' 'sleep next to' 'sit next to' 'stand next to'
 'park next' 'walk next to' 'walk past' 'beneath' 'on the top of' 'sit on'
 'ride' 'carry' 'stand on' 'attach to' 'touch' 'adjacent to' 'park on'
 'pull' 'lean on' 'sleep on' 'rest on' 'hit' 'feed' 'kick' 'skate on'
 'above' 'behind' 'stand behind' 'sit behind' 'park behind'
 'in the front of' 'under' 'stand under' 'sit under' 'near' 'walk to'
 'walk' 'below' 'beside' 'walk beside' 'over' 'by' 'on the left of'
 'on the right of' 'look' 'at' 'watch' 'against' 'drive on' 'taller than'
 'fly' 'face' 'play with' 'outside of' 'follow' 'wear']"
on,adjacent to,[22 46 49 50],['in' 'inside' 'contain' 'drive']
on,across,[1],['wear']
